PLY;Points
cell_23_27.ply;430
cell_23_28.ply;348
cell_23_29.ply;301
cell_23_30.ply;104
cell_23_31.ply;294
cell_23_32.ply;401
cell_23_33.ply;611
cell_23_34.ply;669
cell_23_35.ply;715
cell_23_36.ply;373
cell_23_37.ply;429
cell_23_38.ply;190
cell_23_39.ply;24
cell_24_9.ply;4
cell_24_10.ply;344
cell_24_11.ply;285
cell_24_12.ply;321
cell_24_13.ply;169
cell_24_14.ply;307
cell_24_15.ply;395
cell_24_16.ply;383
cell_24_17.ply;727
cell_24_18.ply;122
cell_24_19.ply;330
cell_24_20.ply;329
cell_24_21.ply;951
cell_24_22.ply;1331
cell_24_23.ply;941
cell_24_24.ply;1187
cell_24_25.ply;784
cell_24_26.ply;406
cell_24_27.ply;439
cell_24_28.ply;365
cell_24_29.ply;451
cell_24_30.ply;328
cell_24_31.ply;337
cell_24_32.ply;426
cell_24_33.ply;289
cell_24_34.ply;613
cell_24_35.ply;554
cell_24_36.ply;249
cell_24_37.ply;480
cell_24_38.ply;250
cell_24_39.ply;8
cell_25_10.ply;33
cell_25_11.ply;303
cell_25_12.ply;557
cell_25_13.ply;254
cell_25_14.ply;258
cell_25_15.ply;235
cell_25_16.ply;228
cell_25_17.ply;517
cell_25_18.ply;182
cell_25_19.ply;542
cell_25_20.ply;305
cell_25_21.ply;477
cell_25_22.ply;457
cell_25_23.ply;844
cell_25_24.ply;773
cell_25_25.ply;951
cell_25_26.ply;802
cell_25_27.ply;826
cell_25_28.ply;562
cell_25_29.ply;396
cell_25_30.ply;660
cell_25_31.ply;290
cell_25_32.ply;172
cell_25_33.ply;172
cell_25_34.ply;448
cell_25_35.ply;377
cell_25_36.ply;412
cell_25_37.ply;584
cell_25_38.ply;189
cell_26_11.ply;491
cell_26_12.ply;327
cell_26_13.ply;385
cell_26_14.ply;351
cell_26_15.ply;200
cell_26_16.ply;224
cell_26_17.ply;319
cell_26_18.ply;278
cell_26_19.ply;350
cell_26_20.ply;346
cell_26_21.ply;293
cell_26_22.ply;618
cell_26_23.ply;316
cell_26_24.ply;284
cell_26_25.ply;583
cell_26_26.ply;590
cell_26_27.ply;310
cell_26_28.ply;282
cell_26_29.ply;268
cell_26_30.ply;337
cell_26_31.ply;397
cell_26_32.ply;239
cell_26_33.ply;268
cell_26_34.ply;209
cell_26_35.ply;163
cell_26_36.ply;245
cell_26_37.ply;214
cell_26_38.ply;499
cell_27_13.ply;34
cell_27_14.ply;78
cell_27_15.ply;222
cell_27_16.ply;224
cell_27_17.ply;368
cell_27_18.ply;140
